player_id,player_name,pos,team,n,overall_avg,overall_sd,pos_avg,pos_sd,overall_min,overall_max,pos_min,pos_max
6803,Brandon Aiyuk,WR,SF,25,114.08,12.88,42.32,4.69,94,140,33,52
8144,Chris Olave,WR,NO,25,116.28,11.79,43.16,4.58,87,134,30,50
8138,James Cook,RB,BUF,25,119.84,13.86,35.4,4.13,86,145,25,44
1352,Robert Woods,WR,HOU,25,120.04,7.46,45.04,2.72,106,135,41,52
2374,Tyler Lockett,WR,SEA,25,120.16,11.45,44.72,4.21,96,142,34,52
2320,Melvin Gordon,RB,NA,25,120.36,8.84,36,2.58,101,138,29,41
3161,Carson Wentz,QB,NA,25,121.68,10.74,26.52,1.42,100,147,23,29
8146,Garrett Wilson,WR,NYJ,25,122.4,13.52,45.92,5.08,97,147,35,55
6843,Albert Okwuegbunam,TE,DEN,25,122.72,20.87,14.36,2.77,70,162,7,21
7611,Rhamondre Stevenson,RB,NE,25,123.24,10.92,37,3.01,94,145,26,44
4892,Baker Mayfield,QB,TB,25,126.8,18.84,28.04,2.11,64,159,21,30
6126,Irv Smith,TE,CIN,25,127.92,15.32,15.12,1.64,92,155,11,19
6886,Chase Claypool,WR,CHI,25,128.68,12.72,47.84,4.75,92,148,32,55
7606,Kadarius Toney,WR,KC,25,128.84,9.63,48.04,3.4,110,146,38,54
8168,Skyy Moore,WR,KC,25,130.28,13.04,48.72,4.84,98,154,35,56
3214,Hunter Henry,TE,NE,25,130.48,18.06,15.64,2.41,91,158,11,21
5052,Ronald Jones,RB,DAL,25,133.96,8.84,40.12,2.59,99,143,30,43
2307,Marcus Mariota,QB,PHI,25,138.24,30.66,29.04,3.36,34,192,16,33
5987,Alexander Mattison,RB,MIN,25,138.88,14.82,41.8,4.37,105,183,34,55
8129,Dameon Pierce,RB,HOU,25,140.24,9.64,42.12,3.1,122,160,35,48
5086,Marquez Valdes-Scantling,WR,KC,25,141.64,12.44,53,3.84,114,165,44,60
5857,Noah Fant,TE,SEA,25,142.24,17.16,17.32,2.14,99,175,14,21
